customer_id,order_date,campaign_id,media_source,product_id
33,2018-09-27 11:57:10,6,Website-ads,5
14,2018-03-02 13:49:46,8,Website-ads,14
90,2016-07-26 21:45:33,6,Website-ads,18
93,2017-09-02 16:17:46,6,Website-ads,11
35,2017-10-24 00:50:12,7,Website-ads,1
44,2018-08-15 09:39:13,4,Facebook,13
69,2017-04-06 20:12:59,6,Website-ads,12
47,2016-09-01 20:37:00,4,Website-ads,9
19,2018-07-21 22:58:06,8,Facebook,16
20,2016-01-21 02:13:17,2,Facebook,15
9,2017-04-04 08:19:09,8,Youtube,2
92,2018-06-10 18:55:47,8,Facebook,9
51,2018-12-19 07:30:55,4,Twitter,19
30,2018-02-22 02:33:55,1,Twitter,1
18,2016-11-07 03:45:36,8,Website-ads,18
57,2016-11-30 18:09:50,6,Website-ads,20
95,2017-03-06 00:08:19,4,Website-ads,6
46,2016-08-22 01:54:03,6,Website-ads,2
80,2017-07-23 13:33:35,6,Twitter,11
87,2016-09-12 09:16:08,3,Facebook,13
24,2017-08-04 05:54:03,4,Facebook,17
64,2018-11-09 23:36:06,8,Website-ads,19
79,2018-09-09 09:17:20,6,Website-ads,9
30,2016-08-29 15:49:58,8,Website-ads,12
41,2018-10-13 10:13:38,6,Youtube,18
26,2016-02-24 02:43:40,4,Website-ads,1
2,2016-08-01 09:01:11,8,Website-ads,14
97,2018-01-18 12:06:25,8,Twitter,3
50,2018-09-04 11:57:49,4,Website-ads,19
87,2016-03-30 16:08:11,8,Website-ads,19
21,2017-07-08 17:21:58,2,Website-ads,12
13,2016-04-17 17:34:41,6,Facebook,6
100,2016-02-29 16:33:20,9,E-mail,17
28,2016-01-06 16:57:44,8,Twitter,2
71,2018-09-07 15:41:48,8,Website-ads,4
9,2017-01-06 02:47:00,7,Facebook,19
71,2018-10-12 13:05:34,4,Website-ads,6
33,2018-10-27 14:40:10,8,Website-ads,11
63,2017-05-13 15:20:37,8,Website-ads,20
28,2016-12-28 22:52:02,6,Website-ads,19
34,2018-06-14 09:10:36,6,Website-ads,4
74,2018-06-08 21:48:17,8,Website-ads,19
74,2016-10-02 22:02:44,2,Youtube,17
10,2018-06-23 00:37:06,6,Website-ads,11
88,2018-10-19 16:01:04,2,Youtube,18
99,2018-05-17 05:03:29,4,Facebook,5
7,2018-11-09 07:10:54,6,Facebook,7
49,2016-06-15 12:34:37,4,Youtube,13
28,2017-08-04 14:10:09,1,Twitter,14
15,2018-01-20 11:56:50,4,E-mail,7
93,2017-09-08 11:44:16,6,Website-ads,10
83,2018-10-21 12:52:05,8,Website-ads,10
70,2018-06-28 03:07:57,6,Website-ads,2
53,2018-11-04 05:25:07,6,Website-ads,15
28,2018-06-24 23:32:51,7,Website-ads,10
26,2017-07-31 11:05:59,4,Facebook,17
30,2017-04-14 05:19:00,6,Website-ads,6
85,2017-05-08 09:12:38,4,Website-ads,14
69,2017-05-13 06:08:23,8,Facebook,11
75,2016-06-03 15:01:18,2,Facebook,5
32,2016-07-13 13:10:48,8,Youtube,4
94,2017-04-27 02:23:08,8,Facebook,12
48,2018-03-22 03:55:48,4,Twitter,15
56,2018-06-16 04:30:02,1,Twitter,13
54,2016-01-19 11:46:15,8,Website-ads,16
5,2016-12-24 02:21:33,6,Website-ads,7
33,2017-04-25 07:39:45,4,Website-ads,16
37,2018-03-03 01:49:29,6,Website-ads,8
40,2017-05-10 22:17:38,6,Twitter,4
68,2018-10-24 06:04:53,3,Facebook,7
20,2016-09-06 20:02:26,4,Facebook,3
38,2018-08-28 02:45:44,8,Website-ads,12
8,2017-08-11 10:37:39,6,Website-ads,12
82,2016-07-05 11:14:39,8,Website-ads,3
50,2018-10-18 22:42:18,6,Youtube,7
52,2016-04-09 16:00:28,4,Website-ads,4
54,2017-07-18 13:10:41,8,Website-ads,18
39,2017-06-23 05:32:36,8,Twitter,11
99,2016-04-05 21:00:30,4,Website-ads,19
67,2017-07-23 09:55:00,8,Website-ads,11
18,2016-09-19 19:13:33,2,Website-ads,10
34,2018-12-11 06:51:35,6,Facebook,2
41,2016-12-08 04:46:21,9,E-mail,3
67,2017-11-24 20:23:22,8,Twitter,9
21,2017-06-05 00:45:48,8,Website-ads,15
47,2017-08-07 05:22:20,7,Facebook,16
7,2017-10-15 07:23:27,4,Website-ads,9
34,2018-10-20 08:27:10,8,Website-ads,13
28,2016-10-06 02:51:21,8,Website-ads,3
41,2016-05-18 19:14:59,6,Website-ads,20
30,2018-01-11 22:44:08,6,Website-ads,2
49,2017-03-16 23:49:27,8,Website-ads,5
35,2018-08-08 13:19:18,2,Youtube,2
17,2018-11-16 08:20:44,6,Website-ads,8
81,2017-02-06 00:54:57,2,Youtube,12
74,2017-02-24 05:51:26,4,Facebook,12
16,2016-08-26 11:22:58,6,Facebook,1
24,2016-02-29 22:06:39,4,Youtube,10
17,2018-09-14 07:52:23,1,Twitter,19
19,2017-05-09 06:02:05,4,E-mail,1
