product_id,name,category_id,weight,price,description,supplier_id,barcode
1,Cunquate,3,177.0180178854146,7.376883086819259,food food food food food food food food food food food food food food food food food,6,70766399
5,Tartare De Peixe,1,118.46309440240344,2.850085683732937,food food food food food food food food food food food food food food food food food,47,09135106
4,Melo Abreu Especial,2,55.060053031463994,0.8337991259308408,food food food food food food food food food food food food food food food food food,31,47154243
7,Zarco,2,720.4357799864789,7.009954637113173,food food food food food food food food food food food food food food food food food,93,51143943
6,cherivia,5,237.47172468409084,9.54063206136649,food food food food food food food food food food food food food food food food food,32,75315501
9,Tagus,2,491.4132513769086,2.3424898676222328,food food food food food food food food food food food food food food food food food,51,80532390
8,Salsinha,4,998.3736755015416,9.297543514428137,food food food food food food food food food food food food food food food food food,14,36736918
3,Batata,5,580.8125472657091,7.349507666611822,food food food food food food food food food food food food food food food food food,59,3055393093685
10,Amora,3,953.5453210514178,5.011921548720958,food food food food food food food food food food food food food food food food food,91,60508499
2,Queijo De Búfala,1,81.52906732422505,3.4595684905910407,food food food food food food food food food food food food food food food food food,17,0607318665805
18,Salsinha,4,513.290653313805,2.2430291411654277,food food food food food food food food food food food food food food food food food,14,36736918
16,cherivia,5,961.6687445978556,2.3770473964436754,food food food food food food food food food food food food food food food food food,32,75315501
13,Batata,5,960.5559485139755,1.1063332905522327,food food food food food food food food food food food food food food food food food,59,3055393093685
17,Zarco,2,96.95241621233485,2.3830008251692556,food food food food food food food food food food food food food food food food food,93,51143943
11,Cunquate,3,437.0004826936571,1.7953808833819362,food food food food food food food food food food food food food food food food food,6,70766399
15,Tartare De Peixe,1,140.46141781251808,0.3590701217605008,food food food food food food food food food food food food food food food food food,47,09135106
12,Queijo De Búfala,1,439.2124595024217,8.06703408310934,food food food food food food food food food food food food food food food food food,17,0607318665805
20,Amora,3,174.73033971594765,4.8714208115839694,food food food food food food food food food food food food food food food food food,91,60508499
19,Tagus,2,684.9419124861226,4.071238759745585,food food food food food food food food food food food food food food food food food,51,80532390
14,Melo Abreu Especial,2,794.7813996271125,2.722061329438489,food food food food food food food food food food food food food food food food food,31,47154243
